0.0, B00,B01,B02,B03,B04,B05,B06,B07,B08,B09,S00,S01,S02,S03,S04,S05,S06,S07,S08,S09,
 17.95, -1, -1, -1, -1, 136, -1, -1, 136, 135, 138, 52, -1, 52, 52, 53, -1, 52, -1, 53, 52, 
 18.85, -1, -1, -1, -1, 136, -1, -1, 136, 135, 138, 52, -1, 52, 52, 53, -1, 52, -1, 53, 52, 
 18.95, -1, -1, -1, -1, 136, -1, 138, 136, 135, 138, 52, -1, 52, 52, 53, -1, 52, -1, 53, 52, 
 19.00, -1, -1, -1, -1, 136, -1, 138, 136, 135, 138, 52, -1, 52, 52, 53, 53, 52, -1, 53, 52, 
 19.05, -1, -1, -1, 138, 136, -1, 138, 136, 135, 138, 52, -1, 52, 52, 53, 53, 52, -1, 53, 52, 
 19.55, -1, -1, -1, 138, 136, -1, 138, 136, 135, 138, 52, -1, 52, 52, 53, 53, 52, 54, 53, 52, 
 19.95, -1, -1, -1, 138, 136, -1, 138, 136, 135, 138, 52, -1, 52, 52, 53, 53, 52, 54, 52, 52, 
 20.05, -1, -1, -1, 138, 136, -1, 138, 136, 135, 138, 52, -1, 52, 52, 53, 52, 52, 54, 52, 52, 
 20.15, -1, 136, -1, 138, 136, -1, 138, 136, 135, 138, 52, -1, 52, 52, 53, 52, 52, 54, 52, 52, 
 20.25, 138, 136, -1, 138, 136, -1, 138, 136, 135, 138, 52, -1, 52, 52, 53, 52, 52, 54, 52, 52, 
 20.35, 138, 136, -1, 138, 136, 137, 138, 136, 135, 138, 52, -1, 52, 52, 53, 52, 52, 54, 52, 52, 
 20.45, 138, 136, 141, 138, 136, 137, 138, 136, 135, 138, 52, -1, 52, 52, 53, 52, 52, 54, 52, 52, 
 20.55, 138, 136, 141, 138, 136, 137, 138, 136, 135, 138, 52, 53, 52, 52, 53, 52, 52, 54, 52, 52, 
 22.25, 138, 136, 141, 138, 136, 137, 138, 136, 135, 138, 62, 53, 52, 52, 53, 52, 52, 54, 52, 52, 
 22.55, 138, 136, 141, 138, 136, 137, 138, 136, 70, 138, 62, 53, 52, 52, 53, 52, 52, 54, 52, 52, 
 22.60, 138, 136, 141, 138, 136, 137, 138, 136, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 52, 52, 
 23.30, 138, 136, 141, 138, 136, 137, 138, 136, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 64, 52, 
 23.35, 138, 136, 141, 138, 136, 137, 138, 136, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 64, 52, 
 23.80, 138, 136, 141, 138, 136, 137, 138, 136, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 64, 52, 
 24.05, 138, 136, 141, 138, 136, 112, 138, 136, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 64, 52, 
 24.20, 138, 136, 141, 93, 136, 112, 138, 136, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 64, 52, 
 24.85, 138, 136, 141, 93, 136, 112, 138, 74, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 64, 52, 
 24.95, 138, 136, 141, 93, 60, 112, 138, 74, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 64, 52, 
 25.15, 138, 136, 141, 93, 60, 112, 138, 74, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 64, 52, 
 25.30, 138, 136, 141, 93, 60, 112, 138, 74, 70, 138, 62, 53, 67, 52, 53, 52, 52, 54, 64, 52, 
 25.80, 138, 136, 141, 93, 60, 112, 138, 74, 70, 138, 62, 53, 67, 66, 53, 52, 52, 54, 64, 52, 
