  2.90, -1, -1, -1, -1, 81, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1,
  3.35, -1, -1, -1, -1, 81, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 471, -1, -1, 
  3.70, -1, -1, -1, -1, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 471, -1, -1, 
  4.15, -1, -1, -1, -1, 10, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 471, -1, -1, 
  4.20, -1, -1, -1, -1, 10, -1, -1, -1, 13, -1, -1, -1, -1, -1, -1, -1, -1, 471, -1, -1, 
  4.70, -1, -1, -1, -1, 10, -1, -1, -1, 16, -1, -1, -1, -1, -1, -1, -1, -1, 471, -1, -1, 
  5.05, -1, -1, -1, -1, 10, -1, 45, -1, 16, -1, -1, -1, -1, -1, -1, -1, -1, 471, -1, -1, 
  5.20, -1, -1, -1, -1, 10, -1, 69, -1, 16, -1, -1, -1, -1, -1, -1, -1, -1, 471, -1, -1, 
  5.25, -1, -1, -1, -1, 10, -1, 69, -1, 125, -1, -1, -1, -1, -1, -1, -1, -1, 471, -1, -1, 
  5.30, -1, -1, -1, -1, 10, -1, 69, -1, 125, -1, -1, -1, -1, -1, -1, -1, -1, 425, -1, -1, 
  5.60, -1, -1, -1, -1, 10, -1, 100, -1, 125, -1, -1, -1, -1, -1, -1, -1, -1, 425, -1, -1, 
  5.70, -1, -1, -1, -1, 10, -1, 126, -1, 125, -1, -1, -1, -1, -1, -1, -1, -1, 425, -1, -1, 
  5.85, -1, -1, -1, -1, 10, -1, 126, -1, 91, -1, -1, -1, -1, -1, -1, -1, -1, 425, -1, -1, 
  5.90, -1, -1, -1, -1, 10, -1, 126, -1, 91, -1, -1, -1, -1, -1, -1, -1, -1, 343, -1, -1, 
  6.00, -1, -1, -1, -1, 10, -1, 126, -1, 143, -1, -1, -1, -1, -1, -1, -1, -1, 343, -1, -1, 
  6.05, -1, -1, -1, -1, 10, -1, 96, -1, 143, -1, -1, -1, -1, -1, -1, -1, -1, 343, -1, -1, 
  6.20, -1, -1, -1, -1, 10, -1, 96, -1, 143, -1, -1, -1, -1, -1, -1, -1, -1, 380, -1, -1, 
  6.35, -1, -1, -1, -1, 10, -1, 96, -1, 143, -1, -1, -1, -1, -1, 302, -1, -1, 380, -1, -1, 
  6.45, -1, -1, -1, -1, 10, -1, 96, -1, 143, -1, -1, -1, -1, -1, 355, -1, -1, 380, -1, -1, 
  6.55, -1, -1, -1, -1, 10, -1, 96, -1, 143, -1, -1, -1, -1, 293, 355, -1, -1, 380, -1, -1, 
  6.60, -1, -1, -1, -1, 10, -1, 96, -1, 143, -1, -1, -1, -1, 293, 355, -1, -1, 258, -1, -1, 
  6.80, -1, -1, -1, -1, 10, -1, 96, -1, 75, -1, -1, -1, -1, 293, 355, -1, -1, 258, -1, -1, 
  6.85, -1, -1, -1, -1, 9, -1, 96, -1, 75, -1, -1, -1, -1, 293, 355, -1, -1, 258, -1, -1, 
  7.25, -1, -1, -1, -1, 9, -1, 76, -1, 75, -1, -1, -1, -1, 293, 355, -1, -1, 258, -1, -1, 
  7.30, -1, -1, -1, -1, 9, -1, 76, -1, 75, -1, -1, -1, 356, 293, 355, -1, -1, 258, -1, -1, 
  7.40, -1, -1, -1, 60, 9, -1, 76, -1, 75, -1, -1, -1, 356, 293, 355, -1, -1, 258, -1, -1, 
  7.55, -1, -1, -1, 60, 9, -1, 76, -1, 75, -1, -1, -1, 356, 380, 355, -1, -1, 258, -1, -1, 
  7.65, -1, -1, -1, 60, 9, -1, 76, -1, 75, -1, -1, -1, 356, 440, 355, -1, -1, 258, -1, -1, 
  7.70, -1, -1, -1, 131, 9, -1, 76, -1, 75, -1, -1, -1, 356, 440, 355, -1, -1, 258, -1, -1, 
  7.75, -1, -1, -1, 131, 9, -1, 76, -1, 75, -1, -1, -1, 356, 440, 355, -1, -1, 152, -1, -1, 
  7.90, -1, -1, -1, 131, 9, -1, 76, -1, 116, -1, -1, -1, 356, 440, 355, -1, -1, 152, -1, -1, 
  8.00, -1, -1, -1, 72, 9, -1, 76, -1, 116, -1, -1, -1, 356, 440, 355, -1, -1, 152, -1, -1, 
  8.10, -1, -1, -1, 72, 9, -1, 76, -1, 116, -1, -1, -1, 469, 440, 355, -1, -1, 152, -1, -1, 
  8.15, -1, -1, -1, 72, 9, -1, 76, -1, 115, -1, -1, -1, 469, 440, 355, -1, -1, 152, -1, -1, 
  8.25, -1, -1, -1, 72, 9, -1, 76, -1, 115, -1, -1, -1, 469, 440, 355, -1, -1, 291, -1, -1, 
  8.40, -1, -1, -1, 72, 9, -1, 76, -1, 115, -1, -1, -1, 469, 375, 355, -1, -1, 291, -1, -1, 
  8.45, -1, -1, -1, 94, 9, -1, 76, -1, 115, -1, -1, -1, 469, 375, 355, -1, -1, 291, -1, -1, 
  8.55, -1, -1, -1, 94, 9, -1, 76, -1, 115, -1, -1, -1, 469, 375, 355, -1, -1, 57, -1, -1, 
  8.70, -1, -1, -1, 94, 9, -1, 76, -1, 115, -1, -1, -1, 449, 375, 355, -1, -1, 57, -1, -1, 
